Title,Area,Room,Floor,Year,Price
2 kambarių butas Klaipėdoje,61.00,2,4/5,1991,53 500 € (877 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,8/9,1986,53 900 € (980 €/m²)
3 kambarių butas Klaipėdoje,60.00,3,1/5,1970,48 000 € (800 €/m²)
3 kambarių butas Klaipėdoje,55.00,3,1/5,1970,72 000 € (1 309 €/m²)
4 kambarių butas Vilniuje,129.00,4,1,1940,370 000 € (2 868 €/m²)
5 kambarių butas Vilniuje,143.00,5,5/6,2019,429 000 € (3 000 €/m²)
1 kambario butas Šiauliuose,20.94,1,2/5,1978,13 000 € (621 €/m²)
2 kambarių butas Vilniuje,73.44,2,10,2005,199 500 € (2 717 €/m²)
3 kambarių butas Vilniuje,89.00,3,3,2018,255 000 € (2 865 €/m²)
4 kambarių butas Vilniuje,84.00,4,5,1959,285 000 € (3 393 €/m²)
2 kambarių butas Vilniuje,82.00,2,1,2009,280 000 € (3 415 €/m²)
6 kambarių butas Vilniuje,234.00,6,3,1940,700 000 € (2 991 €/m²)
2 kambarių butas Klaipėdoje,61.00,2,4/5,1991,53 500 € (877 €/m²)
5 kambarių butas Vilniuje,281.00,5,1,1999,570 000 € (2 028 €/m²)
3 kambarių butas Vilniuje,72.00,3,2,1968,190 000 € (2 639 €/m²)
3 kambarių butas Vilniuje,62.20,3,2,2014,123 000 € (1 977 €/m²)
3 kambarių butas Vilniuje,75.00,3,4/6,2019,225 000 € (3 000 €/m²)
4 kambarių butas Vilniuje,120.00,4,2/6,2019,318 000 € (2 650 €/m²)
3 kambarių butas Vilniuje,42.20,3,2,2014,123 000 € (2 915 €/m²)
4 kambarių butas Vilniuje,120.00,4,4,2007,400 000 € (3 333 €/m²)
2 kambarių butas Klaipėdoje,42.00,2,5/5,1992,52 000 € (1 238 €/m²)
2 kambarių butas Klaipėdoje,61.00,2,4/5,1994,53 500 € (877 €/m²)
