,Area,Room,Year,Flat_floor,Total_floor,Price_eur,Price_m2,City
393,58.0,2,2017,2,3,162000,2793,Vilnius
394,52.0,2,1970,5,5,46000,885,Klaipeda
395,31.26,1,1940,1,4,96000,3071,Vilnius
396,38.0,2,1963,2,5,63000,1658,Klaipeda
397,51.0,2,2020,1,2,41000,804,Vilnius
398,65.0,3,2003,4,6,155000,2385,Vilnius
400,78.0,3,1987,4,5,60900,781,Klaipeda
401,78.0,3,1997,5,5,71900,922,Klaipeda
402,47.0,2,1972,3,5,67000,1426,Vilnius
403,40.96,2,1966,3,4,12500,305,Regionas
404,50.0,2,1978,2,2,18000,360,Regionas
405,39.0,2,1960,4,4,46500,1192,Klaipeda
406,113.0,5,1936,3,3,127000,1124,Klaipeda
407,33.4,2,1999,1,2,48000,1437,Vilnius
408,93.0,3,1998,5,6,127000,1366,Vilnius
409,50.0,2,1977,5,9,42500,850,Klaipeda
410,54.0,3,1965,2,5,132000,2444,Vilnius
411,46.0,2,2020,3,3,75000,1630,Kaunas
413,51.0,2,1981,1,5,57000,1118,Klaipeda
414,56.0,3,1966,5,5,53900,963,Klaipeda
415,64.0,2,2009,7,22,103840,1623,Klaipeda
416,63.0,3,2016,1,3,122000,1937,Klaipeda
417,90.0,4,1988,1,9,75999,844,Klaipeda
418,42.0,2,1963,4,5,103000,2452,Vilnius
419,36.0,2,1978,5,5,39500,1097,Kaunas
420,68.0,3,1970,9,9,81000,1191,Kaunas
421,23.0,1,2019,1,8,62500,2717,Vilnius
422,35.0,1,1972,3,5,55000,1571,Vilnius
423,50.0,3,2020,4,4,77000,1540,Klaipeda
424,40.0,3,2020,4,4,63000,1575,Klaipeda
425,62.0,3,2017,4,5,135000,2177,Klaipeda
426,56.0,3,2020,2,4,82000,1464,Klaipeda
427,55.0,3,2020,3,4,92000,1673,Klaipeda
428,27.0,1,2020,2,6,49000,1815,Vilnius
429,34.37,2,1986,4,5,25000,727,Regionas
430,78.0,4,1977,5,12,109000,1397,Vilnius
432,36.53,2,2020,2,5,57300,1569,Vilnius
433,69.2,3,1990,8,9,117000,1691,Vilnius
434,27.15,2,1990,8,9,56000,2063,Vilnius
435,27.31,1,2020,2,5,50400,1845,Vilnius
436,36.53,2,2020,2,5,57300,1569,Vilnius
437,27.31,1,2020,2,5,57700,2113,Vilnius
438,36.53,2,2020,2,5,67100,1837,Vilnius
439,75.86,3,1940,2,3,188000,2478,Vilnius
440,61.49,3,1977,3,6,75000,1220,Kaunas
441,42.66,2,2018,6,6,140000,3282,Vilnius
442,67.0,3,1980,3,4,96000,1433,Palanga
443,50.49,2,1986,4,4,65000,1287,Regionas
444,40.15,2,1963,1,5,37990,946,Siauliai
445,60.0,3,1972,4,5,68000,1133,Klaipeda
446,48.0,2,1974,5,5,56000,1167,Klaipeda
447,54.5,2,2007,2,3,109900,2017,Vilnius
448,210.0,5,1996,4,6,550000,2619,Vilnius
449,50.2,2,1979,4,5,45000,896,Panevezys
450,37.0,2,1900,1,1,19500,527,Siauliai
451,36.09,1,1986,2,5,45000,1247,Panevezys
452,112.4,4,2007,3,9,229900,2045,Vilnius
453,49.0,2,1979,6,9,54000,1102,Klaipeda
454,65.0,2,2009,7,22,103840,1598,Klaipeda
455,25.0,1,1969,3,5,40900,1636,Vilnius
456,51.0,2,1981,1,5,57000,1118,Klaipeda
457,50.0,2,1977,5,9,43500,870,Klaipeda
458,29.3,1,1971,1,5,43000,1468,Druskininkai
459,39.0,2,1960,4,4,46500,1192,Klaipeda
460,48.6,2,1972,7,12,69000,1420,Vilnius
461,37.0,1,2018,2,5,89999,2432,Klaipeda
462,89.0,4,1989,3,5,87000,978,Klaipeda
463,55.0,2,1988,1,9,66500,1209,Klaipeda
464,64.0,3,1984,5,5,63000,984,Panevezys
465,45.0,2,1960,3,4,80000,1778,Vilnius
466,38.0,2,1962,5,4,50000,1316,Klaipeda
467,38.0,2,1962,5,5,50000,1316,Klaipeda
468,56.0,2,1940,1,2,150000,2679,Vilnius
469,76.54,3,2009,2,4,116900,1527,Klaipeda
470,54.41,2,1975,9,9,43700,803,Siauliai
471,72.0,4,1970,4,5,86000,1194,Klaipeda
472,85.0,3,2013,4,5,128000,1506,Klaipeda
473,43.0,2,2017,1,1,159000,3698,Palanga
474,58.9,3,2022,2,5,86548,1469,Kaunas
475,50.29,3,1965,2,2,50000,994,Klaipeda
476,76.95,2,2015,1,2,158000,2053,Regionas
477,68.0,3,1952,2,3,69000,1015,Klaipeda
478,40.58,1,2022,2,5,61060,1505,Kaunas
479,44.82,2,1968,1,5,47500,1060,Klaipeda
480,64.0,3,1971,4,5,59900,936,Klaipeda
481,52.0,2,1969,6,9,50000,962,Klaipeda
482,57.0,2,2006,2,5,75000,1316,Klaipeda
483,72.5,3,2006,2,3,199000,2745,Palanga
484,63.83,3,1988,5,5,60000,940,Panevezys
486,64.0,3,1975,2,9,76000,1188,Klaipeda
488,55.0,2,2015,2,4,100000,1818,Klaipeda
490,34.0,2,2018,2,4,128000,3765,Palanga
491,65.0,3,1981,1,5,62900,968,Panevezys
492,32.79,1,2020,4,5,55600,1696,Vilnius
493,35.33,2,2020,5,5,81300,2301,Vilnius
494,38.3,2,2020,2,5,67500,1762,Vilnius
495,70.48,3,1994,6,9,88000,1249,Vilnius
496,45.35,2,2020,1,4,105000,2315,Vilnius
497,43.72,2,1970,5,5,44900,1027,Kaunas
498,91.0,4,1978,3,5,165000,1813,Vilnius
499,125.0,5,2002,6,7,159900,1279,Vilnius
501,46.0,2,1967,5,5,48800,1061,Klaipeda
502,78.0,3,1985,8,9,59999,769,Klaipeda
503,51.48,2,1977,4,5,26900,523,Panevezys
504,51.39,2,2014,3,9,105000,2043,Vilnius
505,36.0,1,1989,1,5,32000,889,Panevezys
506,47.0,2,1973,5,5,55500,1181,Klaipeda
507,43.0,1,1987,9,9,49900,1160,Klaipeda
508,66.0,3,1978,7,12,91000,1379,Klaipeda
509,51.0,3,1962,1,4,85000,1667,Klaipeda
510,50.0,2,2019,2,4,122000,2440,Vilnius
511,69.06,3,2020,1,2,115000,1665,Vilnius
512,33.0,1,1976,4,5,28000,848,Regionas
513,48.0,2,1966,5,5,45000,938,Klaipeda
514,63.0,3,1992,1,5,61500,976,Klaipeda
515,30.0,1,1964,5,5,39000,1300,Klaipeda
516,50.0,2,1974,8,9,46500,930,Klaipeda
517,60.0,3,2020,3,7,115000,1917,Klaipeda
518,65.0,2,2009,7,22,103840,1598,Klaipeda
519,37.02,1,1930,3,3,85000,2296,Klaipeda
520,60.0,3,2020,3,7,115000,1917,Klaipeda
521,48.0,2,1991,4,4,62500,1302,Regionas
522,49.61,2,1974,8,9,46500,937,Klaipeda
523,21.0,1,1969,8,9,21500,1024,Panevezys
524,78.0,3,2020,3,3,95000,1218,Klaipeda
525,50.0,3,1962,1,4,95000,1900,Klaipeda
528,70.63,3,1940,1,3,179990,2548,Vilnius
529,96.0,2,1956,4,4,88000,917,Klaipeda
531,51.0,2,1981,1,5,57000,1118,Klaipeda
532,64.9,2,2009,7,22,103840,1600,Klaipeda
533,50.0,3,1976,4,5,160000,3200,Vilnius
534,72.0,2,2013,2,3,187900,2610,Vilnius
535,46.0,2,2018,6,9,119000,2587,Vilnius
536,50.0,2,1986,7,9,47900,958,Siauliai
537,60.16,2,2007,2,4,82000,1363,Regionas
538,35.93,1,2017,4,4,75453,2100,Regionas
539,35.75,1,2017,4,4,75075,2100,Regionas
540,80.0,3,2022,1,1,89000,1113,Siauliai
541,80.0,4,2022,1,1,89000,1113,Siauliai
542,49.0,2,2021,1,3,58310,1190,Panevezys
543,86.0,4,1992,4,5,85500,994,Siauliai
544,44.38,2,1963,4,5,39970,901,Siauliai
545,62.89,3,2015,5,6,125000,1988,Vilnius
546,44.0,2,1966,4,5,43999,1000,Siauliai
551,38.0,2,2017,3,3,122000,3211,Palanga
558,58.0,3,2007,4,4,87000,1500,Vilnius
559,27.0,1,1978,1,1,49500,1833,Vilnius
560,60.0,3,2021,3,4,119000,1983,Kaunas
561,64.0,3,2018,4,9,110000,1719,Kaunas
562,65.01,3,1986,3,4,132000,2030,Kaunas
563,34.11,1,2021,1,4,61398,1800,Kaunas
564,60.05,3,1972,2,2,14500,241,Regionas
565,76.0,3,1998,9,9,68000,895,Klaipeda
566,88.0,4,1987,5,9,60000,682,Klaipeda
567,86.7,3,1959,3,4,153000,1765,Klaipeda
568,78.0,4,1969,5,5,96000,1231,Vilnius
569,29.0,1,1967,5,5,39999,1379,Klaipeda
570,118.51,3,2018,3,3,448163,3782,Vilnius
571,15.67,1,1970,1,4,32000,2042,Vilnius
572,49.51,2,1967,1,5,56000,1131,Klaipeda
573,33.0,2,1976,1,2,39500,1197,Klaipeda
574,50.06,3,1962,1,4,95000,1898,Klaipeda
575,51.31,2,1979,5,5,33000,643,Panevezys
576,35.38,2,1960,1,2,17000,480,Regionas
577,32.99,1,1986,4,5,29300,888,Siauliai
578,88.83,4,1989,3,5,62900,708,Siauliai
579,43.65,2,1962,5,5,43500,997,Siauliai
580,50.0,2,1984,5,5,65000,1300,Vilnius
581,64.0,3,1984,1,5,54000,844,Panevezys
582,79.0,3,1990,3,10,79000,1000,Klaipeda
583,78.0,3,1990,4,9,58000,744,Klaipeda
584,136.96,4,2007,2,3,299000,2183,Vilnius
585,45.0,2,2014,3,9,75000,1667,Klaipeda
586,35.0,1,2020,2,6,88700,2534,Vilnius
587,54.84,3,1964,5,5,35000,638,Regionas
588,190.5,1,1900,3,3,99500,522,Kaunas
589,84.0,3,1940,2,4,255000,3036,Vilnius
590,28.75,1,1966,5,5,62000,2157,Vilnius
591,132.0,5,2020,1,1,153900,1166,Vilnius
592,19.14,1,1963,3,5,41000,2142,Vilnius
593,24.83,2,1990,8,9,46000,1853,Vilnius
594,46.87,3,1990,8,9,80000,1707,Vilnius
595,57.09,2,1920,1,2,23000,403,Regionas
596,66.67,3,2020,1,5,143340,2150,Klaipeda
597,62.53,3,2020,2,5,134400,2149,Klaipeda
598,53.0,3,2018,3,4,119800,2260,Vilnius
599,63.86,3,2020,4,5,137300,2150,Klaipeda
602,30.34,1,1980,4,5,61900,2040,Vilnius
603,78.0,3,1997,5,5,71900,922,Klaipeda
604,28.64,1,2016,1,5,89900,3139,Vilnius
605,77.0,3,1995,8,9,75000,974,Klaipeda
606,37.58,2,2020,4,5,64100,1706,Vilnius
607,60.0,2,2020,3,7,115000,1917,Klaipeda
608,74.75,3,1995,2,3,174000,2328,Vilnius
609,37.58,2,2020,4,5,74200,1974,Vilnius
